data,accuracy,precision_score,recall_score,f1_score,time
data_1,0.7857142857142857,0.7037037037037037,0.6909090909090909,0.6972477064220184,0:00:09
data_2,0.748,0.14035087719298245,0.851063829787234,0.24096385542168675,0:00:08
data_3,0.966875,0.7955801104972375,0.9,0.8445747800586509,0:00:09
data_4,0.9736842105263158,0.9375,1.0,0.967741935483871,0:00:09
