data,accuracy,precision_score,recall_score,f1_score,time
data_1,0.7597402597402597,0.42592592592592593,0.7931034482758621,0.5542168674698795,0:00:11
data_2,0.748,0.14035087719298245,0.851063829787234,0.24096385542168675,0:00:10
data_3,0.953125,0.7900552486187845,0.7944444444444444,0.7922437673130193,0:00:10
data_4,0.956140350877193,0.9375,0.9574468085106383,0.9473684210526315,0:00:11
